Voltage (V vs Li/Li+),Electrolyte,Molar ratio cathode/(cathode+SE),Reaction,Erxn (eV/atom)
1.0,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.8432
1.0,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-1.3255
1.1,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.7979
1.1,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-1.2505
1.2,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.7527
1.2,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-1.1755
1.3,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.7074
1.3,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-1.1005
1.4,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.6621
1.4,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-1.0255
1.5,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.6168
1.5,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-0.9505
1.6,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.5715
1.6,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-0.8755
1.7,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.5262
1.7,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-0.8005
1.8,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.481
1.8,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-0.7255
1.9,Li3YCl6,0.5714,0.4286 Li3YCl6 + 0.5714 Fe2(ClF)3 + 3.429 Li -> 0.4286 LiYF4 + 1.143 Fe + 4.286 LiCl,-0.4357
1.9,Li3YCl6,1.0000,Fe2(ClF)3 + 6 Li -> 3 LiF + 2 Fe + 3 LiCl,-0.6505
