Voltage (V vs Li/Li+),Electrolyte,Molar ratio cathode/(cathode+SE),Reaction,Erxn (eV/atom)
1.0,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-1.2907
1.1,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-1.2157
1.2,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-1.1407
1.3,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-1.0657
1.4,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.9907
1.5,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.9157
1.6,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.8407
1.7,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.7657
1.8,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.6907
1.9,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.6157
2.0,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.5407
2.1,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.4657
2.2,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.3907
2.3,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.3157
2.4,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.2407
2.5,Li3YCl6,1.0000,FeCl3 + 3 Li -> Fe + 3 LiCl,-0.1657
2.6,Li3YCl6,1.0000,FeCl3 + Li -> FeCl2 + LiCl,-0.0981
2.7,Li3YCl6,1.0000,FeCl3 + Li -> FeCl2 + LiCl,-0.0731
2.8,Li3YCl6,0.7500,0.25 Li3YCl6 + 0.75 FeCl3 -> 0.75 LiFeCl4 + 0.25 YCl3,-0.0309
2.8,Li3YCl6,1.0000,FeCl3 + 0.5 Li -> 0.5 LiFeCl4 + 0.5 FeCl2,-0.0486
