Voltage (V vs Li/Li+),Electrolyte,Molar ratio cathode/(cathode+SE),Reaction,Erxn (eV/atom)
1.0,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.6497
1.0,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-1.3603
1.1,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.6173
1.1,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-1.2853
1.2,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.5849
1.2,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-1.2103
1.3,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.5524
1.3,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-1.1353
1.4,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.52
1.4,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-1.0603
1.5,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.4876
1.5,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.9853
1.6,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.4551
1.6,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.9103
1.7,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.4227
1.7,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.8353
1.8,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.3903
1.8,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.7603
1.9,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.3578
1.9,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.6853
2.0,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.3254
2.0,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.6103
2.1,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.293
2.1,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.5353
2.2,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.2605
2.2,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.4603
2.3,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.2281
2.3,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.3853
2.4,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.1957
2.4,Li3YCl6,1.0000,FeF3 + 3 Li -> 3 LiF + Fe,-0.3103
2.5,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 1.714 Li -> 0.4286 LiYF4 + 0.5714 Fe + 2.571 LiCl,-0.1632
2.5,Li3YCl6,0.8000,0.8 FeF3 + 0.2 Li3YCl6 + 0.8 Li -> 0.2 LiYF4 + 1.2 LiCl + 0.8 FeF2,-0.2162
2.5,Li3YCl6,1.0000,FeF3 + Li -> LiF + FeF2,-0.2634
2.6,Li3YCl6,0.5714,0.5714 FeF3 + 0.4286 Li3YCl6 + 0.5714 Li -> 0.5714 FeCl2 + 0.4286 LiYF4 + 1.429 LiCl,-0.134
2.6,Li3YCl6,0.8000,0.8 FeF3 + 0.2 Li3YCl6 + 0.8 Li -> 0.2 LiYF4 + 1.2 LiCl + 0.8 FeF2,-0.1989
