Voltage (V vs Li/Li+),Electrolyte,Molar ratio cathode/(cathode+SE),Reaction,Erxn (eV/atom)
1.0,Li3YCl6,0.7258,0.3629 Fe1 F3 + 0.3629 Fe1 Cl3 + 0.2742 Li3 Y1 Cl6 -> 0.5656 LiCl + 0.2822 LiYF4 + 0.1505 Fe + 0.0017 YCl3,-0.0366
1.0,Li3YCl6,0.8428,0.4214 Fe1 F3 + 0.4214 Fe1 Cl3 + 0.1572 Li3 Y1 Cl6 -> 0.4936 LiCl + 0.1885 Fe + 0.1758 LiYF4 + 0.1421 LiF,-0.0241
1.0,Li3YCl6,0.8662,0.4331 Fe1 F3 + 0.4331 Fe1 Cl3 + 0.1338 Li3 Y1 Cl6 -> 0.4776 LiCl + 0.1968 Fe + 0.1736 LiF + 0.1520 LiYF4,-0.0211
1.0,Li3YCl6,0.8896,0.4448 Fe1 F3 + 0.4448 Fe1 Cl3 + 0.1104 Li3 Y1 Cl6 -> 0.4610 LiCl + 0.2062 LiF + 0.2054 Fe + 0.1274 LiYF4,-0.018
1.0,Li3YCl6,0.9130,0.4565 Fe1 F3 + 0.4565 Fe1 Cl3 + 0.0870 Li3 Y1 Cl6 -> 0.4439 LiCl + 0.2398 LiF + 0.2143 Fe + 0.1020 LiYF4,-0.0146
1.0,Li3YCl6,0.9365,0.4682 Fe1 F3 + 0.4682 Fe1 Cl3 + 0.0635 Li3 Y1 Cl6 -> 0.4262 LiCl + 0.2745 LiF + 0.2235 Fe + 0.0758 LiYF4,-0.011
1.0,Li3YCl6,0.9599,0.4799 Fe1 F3 + 0.4799 Fe1 Cl3 + 0.0401 Li3 Y1 Cl6 -> 0.4079 LiCl + 0.3105 LiF + 0.2330 Fe + 0.0487 LiYF4,-0.0072
1.0,Li3YCl6,0.9833,0.4916 Fe1 F3 + 0.4916 Fe1 Cl3 + 0.0167 Li3 Y1 Cl6 -> 0.3889 LiCl + 0.3476 LiF + 0.2428 Fe + 0.0206 LiYF4,-0.0031
1.1,Li3YCl6,0.7258,0.3629 Fe1 F3 + 0.3629 Fe1 Cl3 + 0.2742 Li3 Y1 Cl6 -> 0.5656 LiCl + 0.2822 LiYF4 + 0.1505 Fe + 0.0017 YCl3,-0.0366
1.1,Li3YCl6,0.8428,0.4214 Fe1 F3 + 0.4214 Fe1 Cl3 + 0.1572 Li3 Y1 Cl6 -> 0.4936 LiCl + 0.1885 Fe + 0.1758 LiYF4 + 0.1421 LiF,-0.0241
1.1,Li3YCl6,0.8662,0.4331 Fe1 F3 + 0.4331 Fe1 Cl3 + 0.1338 Li3 Y1 Cl6 -> 0.4776 LiCl + 0.1968 Fe + 0.1736 LiF + 0.1520 LiYF4,-0.0211
1.1,Li3YCl6,0.8896,0.4448 Fe1 F3 + 0.4448 Fe1 Cl3 + 0.1104 Li3 Y1 Cl6 -> 0.4610 LiCl + 0.2062 LiF + 0.2054 Fe + 0.1274 LiYF4,-0.018
1.1,Li3YCl6,0.9130,0.4565 Fe1 F3 + 0.4565 Fe1 Cl3 + 0.0870 Li3 Y1 Cl6 -> 0.4439 LiCl + 0.2398 LiF + 0.2143 Fe + 0.1020 LiYF4,-0.0146
1.1,Li3YCl6,0.9365,0.4682 Fe1 F3 + 0.4682 Fe1 Cl3 + 0.0635 Li3 Y1 Cl6 -> 0.4262 LiCl + 0.2745 LiF + 0.2235 Fe + 0.0758 LiYF4,-0.011
1.1,Li3YCl6,0.9599,0.4799 Fe1 F3 + 0.4799 Fe1 Cl3 + 0.0401 Li3 Y1 Cl6 -> 0.4079 LiCl + 0.3105 LiF + 0.2330 Fe + 0.0487 LiYF4,-0.0072
