      #Energy        TDOS-UP        TDOS-DOWN
     -24.85820       0.00000       0.00000
     -24.74520       0.00000       0.00000
     -24.63220       0.00000       0.00000
     -24.51920       0.00000       0.00000
     -24.40620       0.00000       0.00000
     -24.29320       0.00000       0.00000
     -24.17920       0.00000       0.00000
     -24.06620       0.00000       0.00000
     -23.95320       0.00000       0.00000
     -23.84020       0.00000       0.00000
     -23.72720      -0.00000       0.00000
     -23.61420      -0.00000       0.00000
     -23.50020      -0.00000       0.00000
     -23.38720      -0.00371       0.00371
     -23.27420       0.21250      -0.21250
     -23.16120       0.07115      -0.07115
     -23.04820       0.23140      -0.23140
     -22.93520       0.05753      -0.05753
     -22.82120      -0.00025       0.00025
     -22.70820      -0.00000       0.00000
     -22.59520       0.00000       0.00000
     -22.48220       0.00000       0.00000
     -22.36920       0.00000       0.00000
     -22.25620       0.00000       0.00000
     -22.14220       0.00000       0.00000
     -22.02920       0.00000       0.00000
     -21.91620       0.00000       0.00000
     -21.80320       0.00000       0.00000
     -21.69020       0.00000       0.00000
     -21.57720       0.00000       0.00000
     -21.46320       0.00000       0.00000
     -21.35020       0.00000       0.00000
     -21.23720       0.00000       0.00000
     -21.12420       0.00000       0.00000
     -21.01120       0.00000       0.00000
     -20.89820       0.00000       0.00000
     -20.78420       0.00000       0.00000
     -20.67120       0.00000       0.00000
     -20.55820       0.00000       0.00000
     -20.44520       0.00000       0.00000
     -20.33220       0.00000       0.00000
     -20.21820       0.00000       0.00000
     -20.10520       0.00000       0.00000
     -19.99220       0.00000       0.00000
     -19.87920       0.00000       0.00000
     -19.76620       0.00000       0.00000
     -19.65320       0.00000       0.00000
     -19.53920       0.00000       0.00000
     -19.42620       0.00000       0.00000
     -19.31320       0.00000       0.00000
     -19.20020       0.00000       0.00000
     -19.08720       0.00000       0.00000
     -18.97420       0.00000       0.00000
     -18.86020       0.00000       0.00000
     -18.74720       0.00000       0.00000
     -18.63420       0.00000       0.00000
     -18.52120       0.00000       0.00000
     -18.40820       0.00000       0.00000
     -18.29520       0.00000       0.00000
     -18.18120       0.00000       0.00000
     -18.06820       0.00000       0.00000
     -17.95520       0.00000       0.00000
     -17.84220       0.00000       0.00000
     -17.72920       0.00000       0.00000
     -17.61620       0.00000       0.00000
     -17.50220       0.00000       0.00000
     -17.38920       0.00000       0.00000
     -17.27620       0.00000       0.00000
     -17.16320       0.00000       0.00000
     -17.05020       0.00000       0.00000
     -16.93720       0.00000       0.00000
     -16.82320      -0.00000       0.00000
     -16.71020      -0.00000       0.00000
     -16.59720      -0.00000       0.00000
     -16.48420      -0.00007       0.00007
     -16.37120       0.00822      -0.00822
     -16.25820       0.05712      -0.05712
     -16.14420       0.03000      -0.02999
     -16.03120      -0.00050       0.00050
     -15.91820      -0.00000       0.00000
     -15.80520       0.00000       0.00000
     -15.69220       0.00000       0.00000
     -15.57920       0.00000       0.00000
     -15.46520       0.00000       0.00000
     -15.35220      -0.00000       0.00000
     -15.23920      -0.00000       0.00000
     -15.12620      -0.00000       0.00000
     -15.01320      -0.00011       0.00011
     -14.90020       0.00768      -0.00768
     -14.78620       0.07178      -0.07178
     -14.67320       0.01553      -0.01553
     -14.56020      -0.00013       0.00013
     -14.44720      -0.00000       0.00000
     -14.33420       0.00000       0.00000
     -14.22120       0.00000       0.00000
     -14.10720       0.00000       0.00000
     -13.99420       0.00000       0.00000
     -13.88120       0.00000       0.00000
     -13.76820       0.00000       0.00000
     -13.65520       0.00000       0.00000
     -13.54220      -0.00000       0.00000
     -13.42820      -0.00000       0.00000
