      #Energy        TDOS-UP        TDOS-DOWN
     -24.64377       0.00000       0.00000
     -24.52977       0.00000       0.00000
     -24.41577       0.00000       0.00000
     -24.30177       0.00000       0.00000
     -24.18777       0.00000       0.00000
     -24.07377       0.00000       0.00000
     -23.95977       0.00000       0.00000
     -23.84577       0.00000       0.00000
     -23.73177       0.00000       0.00000
     -23.61777       0.00000       0.00000
     -23.50477      -0.00000       0.00000
     -23.39077      -0.00000       0.00000
     -23.27677      -0.00000       0.00000
     -23.16277      -0.00680       0.00680
     -23.04877       0.30440      -0.30440
     -22.93477       0.04464      -0.04463
     -22.82077       0.18280      -0.18280
     -22.70677       0.16370      -0.16370
     -22.59277      -0.00140       0.00140
     -22.47877      -0.00000       0.00000
     -22.36477       0.00000       0.00000
     -22.25077       0.00000       0.00000
     -22.13677       0.00000       0.00000
     -22.02377       0.00000       0.00000
     -21.90977       0.00000       0.00000
     -21.79577       0.00000       0.00000
     -21.68177       0.00000       0.00000
     -21.56777       0.00000       0.00000
     -21.45377       0.00000       0.00000
     -21.33977       0.00000       0.00000
     -21.22577       0.00000       0.00000
     -21.11177       0.00000       0.00000
     -20.99777       0.00000       0.00000
     -20.88377       0.00000       0.00000
     -20.76977       0.00000       0.00000
     -20.65677       0.00000       0.00000
     -20.54277       0.00000       0.00000
     -20.42877       0.00000       0.00000
     -20.31477       0.00000       0.00000
     -20.20077       0.00000       0.00000
     -20.08677       0.00000       0.00000
     -19.97277       0.00000       0.00000
     -19.85877       0.00000       0.00000
     -19.74477       0.00000       0.00000
     -19.63077       0.00000       0.00000
     -19.51677       0.00000       0.00000
     -19.40277       0.00000       0.00000
     -19.28977       0.00000       0.00000
     -19.17577       0.00000       0.00000
     -19.06177       0.00000       0.00000
     -18.94777       0.00000       0.00000
     -18.83377       0.00000       0.00000
     -18.71977       0.00000       0.00000
     -18.60577       0.00000       0.00000
     -18.49177       0.00000       0.00000
     -18.37777       0.00000       0.00000
     -18.26377       0.00000       0.00000
     -18.14977       0.00000       0.00000
     -18.03577       0.00000       0.00000
     -17.92277       0.00000       0.00000
     -17.80877       0.00000       0.00000
     -17.69477       0.00000       0.00000
     -17.58077       0.00000       0.00000
     -17.46677       0.00000       0.00000
     -17.35277       0.00000       0.00000
     -17.23877       0.00000       0.00000
     -17.12477       0.00000       0.00000
     -17.01077       0.00000       0.00000
     -16.89677       0.00000       0.00000
     -16.78277       0.00000       0.00000
